sk_fato,fk_tempo,fk_local,fk_ensino,fk_administrativa,nota_saeb_matematica,nota_saeb_portugues,nota_saeb_media,taxa_aprovacao,valor_ideb_alcancado,valor_ideb_meta,atingiu_meta
153,2,5,2,4,212.26,224.55,3.946833,83.3,3.3,3.7,Não
154,3,5,2,4,255.54,227.07,4.710167,76.0,3.6,4.0,Não
155,4,5,2,4,237.04,238.8,4.597333,99.3,4.6,4.2,Sim
156,5,5,2,4,271.21,271.4,5.710167,93.5,5.3,,
157,1,6,2,1,226.14,223.34,4.158,85.4,3.5,3.6,Não
158,2,6,2,1,269.37,263.56,5.548833,73.1,4.1,3.8,Sim
159,3,6,2,1,271.17,258.9,5.501167,96.4,5.3,4.1,Sim
160,4,6,2,1,252.48,249.21,5.028167,100.0,5.0,4.4,Sim
161,5,6,2,1,262.37,272.99,5.589333,100.0,5.6,,
162,1,6,2,2,243.68,245.07,4.8125,81.3,3.9,3.8,Sim
163,2,6,2,2,272.99,267.58,5.676167,76.8,4.4,4.1,Sim
164,3,6,2,2,267.78,265.01,5.5465,78.8,4.4,4.3,Sim
165,4,6,2,2,253.77,245.83,4.993333,97.9,4.9,4.6,Sim
166,5,6,2,2,249.37,244.88,4.904167,89.9,4.4,,
167,1,6,2,4,231.99,230.58,4.376167,82.4,3.6,3.6,Sim
168,2,6,2,4,270.33,264.63,5.582667,75.4,4.2,3.9,Sim
169,3,6,2,4,269.27,262.32,5.5265,79.9,4.4,4.2,Sim
170,4,6,2,4,253.49,246.57,5.001,97.9,4.9,4.5,Sim
171,5,6,2,4,251.97,250.51,5.041333,90.0,4.5,,
172,2,7,3,1,273.19,265.58,4.502201,84.0,3.8,,
173,3,7,3,1,281.98,274.68,4.761884,80.4,3.8,4.0,Não
174,4,7,3,1,271.86,272.0,4.579629,100.0,4.6,4.2,Sim
175,5,7,3,1,282.49,277.78,4.815454,82.7,4.0,,
176,2,7,3,4,273.19,265.58,4.502201,84.0,3.8,,
177,3,7,3,4,281.98,274.68,4.761884,80.4,3.8,4.0,Não
178,4,7,3,4,271.86,272.0,4.579629,100.0,4.6,4.2,Sim
179,5,7,3,4,282.49,277.78,4.815454,82.7,4.0,,
180,2,1,3,1,233.02,235.38,3.48592,83.1,2.9,,
181,3,1,3,1,253.21,256.64,4.087751,84.7,3.5,3.1,Sim
182,4,1,3,1,241.59,251.16,3.842512,100.0,3.8,3.3,Sim
183,5,1,3,1,265.74,263.31,4.363584,92.2,4.0,,
184,2,1,3,4,233.02,235.38,3.48592,83.1,2.9,,
185,3,1,3,4,253.21,256.64,4.087751,84.7,3.5,3.1,Sim
186,4,1,3,4,241.59,251.16,3.842512,100.0,3.8,3.3,Sim
187,5,1,3,4,265.74,263.31,4.363584,92.2,4.0,,
188,2,2,3,1,263.7,240.9,3.999453,84.8,3.4,,
